ID,lat,long,ele,time,,date,name,cmt,desc,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Author,CreationTime,,Flock
1,-11.88774196,-71.40535098,336.034332,2025-08-19T11:18:21Z,,8/19/2025,45,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T11:18:21Z,,Bebe
2,-11.88769301,-71.40516004,336.044189,2025-08-19T11:26:58Z,,8/19/2025,46,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T11:26:58Z,,Bebe
3,-11.88707703,-71.40538098,327.75647,2025-08-19T11:48:02Z,,8/19/2025,47,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T11:48:02Z,,Bebe
4,-11.88709899,-71.40554904,323.413879,2025-08-19T12:01:33Z,,8/19/2025,48,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:01:33Z,,Bebe
5,-11.887073,-71.405671,326.013397,2025-08-19T12:09:10Z,,8/19/2025,49,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:09:10Z,,Bebe
6,-11.88690101,-71.40564602,326.830383,2025-08-19T12:18:51Z,,8/19/2025,50,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:18:51Z,,Bebe
7,-11.88695901,-71.40549297,328.918457,2025-08-19T12:30:03Z,,8/19/2025,51,CS,CS,Civil,user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:30:03Z,,Bebe
8,-11.886943,-71.40519599,334.244934,2025-08-19T12:48:04Z,,8/19/2025,52,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:48:04Z,,Bebe
9,-11.88684602,-71.40501997,330.262573,2025-08-19T12:58:08Z,,8/19/2025,53,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T12:58:08Z,,Bebe
10,-11.88689397,-71.405025,334.659698,2025-08-19T13:08:02Z,,8/19/2025,54,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:08:02Z,,Bebe
11,-11.88668802,-71.40512098,333.787354,2025-08-19T13:19:32Z,,8/19/2025,55,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:19:32Z,,Bebe
12,-11.88675097,-71.40502299,338.619232,2025-08-19T13:28:17Z,,8/19/2025,56,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:28:17Z,,Bebe
13,-11.88674401,-71.40492199,342.507843,2025-08-19T13:36:03Z,,8/19/2025,57,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:36:03Z,,Bebe
14,-11.88654704,-71.40493498,341.433929,2025-08-19T13:46:53Z,,8/19/2025,58,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:46:53Z,,Bebe
15,-11.88654,-71.404622,339.289551,2025-08-19T13:58:19Z,,8/19/2025,59,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T13:58:19Z,,Bebe
16,-11.88700302,-71.40467397,344.865509,2025-08-19T14:06:56Z,,8/19/2025,60,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T14:06:56Z,,Bebe
17,-11.88750501,-71.40506197,324.372742,2025-08-19T14:27:09Z,,8/19/2025,61,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T14:27:09Z,,Bebe
18,-11.88755999,-71.405183,328.258423,2025-08-19T14:36:16Z,,8/19/2025,62,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T14:36:16Z,,Bebe
19,-11.88768497,-71.40528501,341.459564,2025-08-19T14:46:19Z,,8/19/2025,63,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T14:46:19Z,,Bebe
20,-11.88783802,-71.40543002,333.323792,2025-08-19T14:56:30Z,,8/19/2025,64,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T14:56:30Z,,Bebe
21,-11.88812904,-71.40534,323.472443,2025-08-19T15:09:04Z,,8/19/2025,65,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T15:09:04Z,,Bebe
22,-11.88804799,-71.405455,328.782135,2025-08-19T15:18:51Z,,8/19/2025,66,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T15:18:51Z,,Bebe
23,-11.88829802,-71.40548299,331.639648,2025-08-19T15:27:28Z,,8/19/2025,67,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T15:27:28Z,,Bebe
25,-11.88854202,-71.40529004,333.006866,2025-08-19T15:37:34Z,,8/19/2025,68,,,"Navaid, Violet",user,,,,,,,,,,,SymbolAndName,,Danny,2025-08-19T15:37:34Z,,Bebe
